,maxx,i,j,q,orders_long,orders_short,alpha
3515,-1.2916911056999083,14,25,1,8,6,-9.041837739899359
4044,-0.8612585803000589,15,32,17,11,10,-9.043215093150618
4345,-1.2061335274824116,16,28,14,9,6,-9.046001456118088
4315,-1.3918436568915922,16,27,3,7,6,-9.046983769795348
481,-0.476443134811922,6,25,7,20,18,-9.052419561426518
2123,-0.7243589938709734,10,31,15,12,13,-9.054487423387167
8916,-1.5097406232786084,28,31,6,5,7,-9.05844373967165
1815,-0.47678611651533875,9,35,11,24,14,-9.058936213791437
3430,-2.0132114998148443,14,20,11,5,4,-9.059451749166799
2647,-0.4771061452857105,11,39,7,23,15,-9.065016760428499
12066,-1.0669868862553566,37,37,2,9,8,-9.069388533170532
11708,-2.015922213296956,36,35,5,4,5,-9.071649959836302
914,-0.5188763375440538,7,28,3,18,17,-9.080335907020942
4354,-1.1353698656590416,16,29,4,11,5,-9.082958925272333
5486,-1.211269907114307,19,28,15,9,6,-9.084524303357302
7453,-1.1358898148619505,24,32,6,7,9,-9.087118518895604
5392,-2.0195383106912717,19,23,16,4,5,-9.087922398110722
7757,-1.8177015365133435,25,28,6,5,5,-9.088507682566718
12397,-1.2118942897867184,38,37,10,7,8,-9.089207173400387
2555,-0.6733337987610204,11,34,10,14,13,-9.090006283273775
6665,-1.8182632239702012,22,30,16,6,4,-9.091316119851006
3452,-1.8185773782667292,14,21,14,6,4,-9.092886891333645
2209,-0.5052939616417239,10,36,6,20,16,-9.09529130955103
8687,-1.299932049829202,27,37,5,5,9,-9.099524348804414
1390,-0.4233673044575297,8,33,4,27,16,-9.102397045836888
3428,-2.023294581081334,14,20,9,5,4,-9.104825614866003
11097,-1.0713190145501583,34,37,2,7,10,-9.106211623676346
5403,-2.2777908137038714,19,24,8,4,4,-9.111163254815486
8612,-1.5187906955001484,27,33,6,5,7,-9.112744173000891
1394,-0.42385367892901465,8,33,8,27,16,-9.112854096973814
7227,-9.113423968035347,24,20,8,1,1,-9.113423968035347
10113,-1.215162766318436,31,37,6,6,9,-9.11372074738827
5768,-2.2784560776050267,20,23,12,4,4,-9.113824310420107
3750,-0.6752987612880046,14,37,8,13,14,-9.116533277388061
5743,-2.605529844777489,20,22,6,3,4,-9.119354456721211
3915,-1.5199699148442711,15,26,2,7,5,-9.119819489065627
2586,-0.53646685726972,11,36,3,19,15,-9.119936573585239
8332,-1.3029834501351547,26,38,11,6,8,-9.120884150946083
8448,-6.082836474633313,27,24,13,1,2,-9.12425471194997
12091,-1.0144990636990214,37,38,8,8,10,-9.130491573291193
482,-0.48074378482609204,6,25,8,20,18,-9.134131911695748
385,-0.5374200720572635,6,20,6,16,18,-9.13614122497348
10452,-1.6621587420431472,32,37,3,5,6,-9.141873081237309
11614,-2.612137854308537,36,30,6,4,3,-9.14248249007988
4627,-2.285825848208558,17,23,11,6,2,-9.143303392834232
893,-0.4944610887440289,7,27,1,19,18,-9.147530141764534
9036,-1.1443234458577758,28,37,12,6,10,-9.154587566862206
2678,-1.6659040210363625,12,20,19,8,3,-9.162472115699993
4708,-1.0780429779627587,17,27,16,10,7,-9.16336531268345
7471,-1.2227262594710977,24,33,5,8,7,-9.170446946033232
9699,-1.4114788553462245,30,34,10,4,9,-9.174612559750459
11002,-2.0396329996001756,34,32,2,3,6,-9.17834849820079
