,maxx,i,j,q,orders_long,orders_short,alpha
5918,19.214639021721947,20,31,10,5,5,96.07319510860974
6302,21.34837157739919,21,31,14,6,3,96.06767209829634
1865,9.142487665213759,9,38,4,8,13,95.99612048474447
7531,21.322379327073143,24,36,8,3,6,95.95070697182915
2124,10.659426868844516,10,31,16,9,9,95.93484181960065
5974,17.43062509437071,20,34,9,3,8,95.8684380190389
5147,19.133809952858954,18,30,18,6,4,95.66904976429477
3983,23.910020086333244,15,29,13,4,4,95.64008034533298
10495,19.124992352514898,32,38,8,4,6,95.62496176257449
4017,21.249270439448637,15,31,9,5,4,95.62171697751887
3586,15.93654080609733,14,28,15,5,7,95.61924483658399
5972,17.36303685320555,20,34,7,3,8,95.49670269263052
4486,13.632481178279377,16,36,3,7,7,95.42736824795564
7133,27.248590962840485,23,35,9,2,5,95.37006836994169
6043,19.050317229897328,20,38,2,4,6,95.25158614948664
8978,19.047375038492838,28,35,11,4,6,95.2368751924642
4404,21.16367762143483,16,31,16,2,7,95.23654929645673
