,maxx,i,j,z1,z2,orders_long,orders_short,alpha
495,1.1306771921361456,0.05,0.5,0.030000000000000002,0.01,33,69,57.66453679894342
198,1.601058177006132,0.05,0.3,0.015,0.04,54,18,57.638094372220756
1997,1.796838988231815,0.2,0.25,0.025,0.01,14,50,57.49884762341808
2042,1.5325989102178301,0.2,0.3,0.005,0.02,31,44,57.47245913316863
930,1.6414565820945624,0.1,0.35000000000000003,0.045,0.02,24,46,57.45098037330968
5679,38.29502882179893,0.45,0.1,0.01,0.015,1,2,57.4425432326984
593,1.5278273278718713,0.05,0.55,0.045,0.02,25,50,57.293524795195175
821,1.4307262256591442,0.1,0.3,0.025,0.02,36,44,57.22904902636577
2439,1.1321174370815406,0.2,0.55,0.005,0.01,31,70,57.171930572617796
2929,1.5447190430167397,0.25,0.4,0.005,0.015,21,53,57.15460459161937
642,1.7258909791413444,0.1,0.15000000000000002,0.01,0.04,59,7,56.95440231166437
289,1.339914746921183,0.05,0.35000000000000003,0.030000000000000002,0.015,33,52,56.94637674415028
4093,37.9434740897924,0.35000000000000003,0.1,0.030000000000000002,0.005,0,3,56.915211134688604
297,1.2369549893990104,0.05,0.35000000000000003,0.034999999999999996,0.01,27,65,56.899929512354475
81,1.353942010435147,0.05,0.2,0.01,0.025,63,21,56.865564438276174
1860,5.979769032107035,0.2,0.15000000000000002,0.030000000000000002,0.04,12,7,56.807805805016834
1925,2.7683463876213086,0.2,0.2,0.025,0.02,14,27,56.751100946236825
201,1.0606765181118267,0.05,0.3,0.02,0.01,45,62,56.74619371898273
1845,3.545032161318499,0.2,0.15000000000000002,0.015,0.030000000000000002,21,11,56.72051458109598
386,1.5672612002643478,0.05,0.4,0.045,0.02,25,47,56.42140320951652
2714,2.2107278665710184,0.25,0.25,0.02,0.015,10,41,56.37356059756097
1785,3.4122768651377684,0.2,0.1,0.005,0.015,31,2,56.30256827477318
254,1.0601433024716538,0.05,0.35000000000000003,0.005,0.025,71,35,56.18759503099765
2898,4.16054939719687,0.25,0.35000000000000003,0.030000000000000002,0.04,8,19,56.167416862157744
2800,4.00412498159192,0.25,0.3,0.02,0.04,10,18,56.05774974228687
267,1.5348552551675367,0.05,0.35000000000000003,0.015,0.04,54,19,56.02221681361509
270,1.0164699032317914,0.05,0.35000000000000003,0.02,0.01,45,65,55.905844677748526
2176,1.793982577436867,0.2,0.35000000000000003,0.034999999999999996,0.015,10,52,55.61345990054288
2122,1.3391671593094672,0.2,0.35000000000000003,0.005,0.015,31,52,55.575437111342886
357,1.110304156328568,0.05,0.4,0.030000000000000002,0.01,33,67,55.5152078164284
6084,5.02627657915177,0.45,0.35000000000000003,0.01,0.034999999999999996,1,21,55.28904237066947
3014,1.1459878771670013,0.25,0.45,0.01,0.005,17,79,55.00741810401607
1471,1.3065943483942242,0.15000000000000002,0.35000000000000003,0.01,0.025,49,35,54.876962632557415
504,1.1405209763133428,0.05,0.5,0.034999999999999996,0.01,27,69,54.74500686304046
1906,2.1846798010918973,0.2,0.2,0.015,0.015,21,29,54.616995027297435
2113,1.8481327208337066,0.2,0.3,0.045,0.015,9,50,54.519915264594346
52,1.6034088617141302,0.05,0.15000000000000002,0.02,0.005,45,23,54.515901298280426
4144,9.908658916720746,0.35000000000000003,0.15000000000000002,0.01,0.034999999999999996,3,8,54.4976240419641
193,1.3434601255273428,0.05,0.3,0.01,0.04,63,18,54.410135083857384
3085,1.5532615358526125,0.25,0.5,0.005,0.02,21,49,54.36415375484144
2203,1.2939670989009857,0.2,0.4,0.005,0.015,31,53,54.3466181538414
2856,1.1814176595817185,0.25,0.35000000000000003,0.01,0.005,17,75,54.345212340759055
2564,3.747598826812166,0.25,0.15000000000000002,0.02,0.01,10,19,54.340182988776405
1867,6.032482953125963,0.2,0.15000000000000002,0.034999999999999996,0.034999999999999996,10,8,54.29234657813367
1652,1.2587068956113636,0.15000000000000002,0.45,0.045,0.01,18,68,54.12439651128864
