,close_time,o,h,l,c,v
222,2018-03-27 23:59:59.999,485.0,491.55,446.0,448.5,138188.76042
223,2018-03-28 23:59:59.999,448.5,466.0,440.14,446.67,89895.47885
224,2018-03-29 23:59:59.999,446.07,449.43,380.0,384.0,225341.94316
225,2018-03-30 23:59:59.999,383.87,412.04,366.0,392.43,292254.79437
226,2018-03-31 23:59:59.999,392.4,419.4,388.52,393.92,167833.59399
227,2018-04-01 23:59:59.999,393.93,399.91,356.9,378.58,150493.99422
228,2018-04-02 23:59:59.999,378.58,394.87,375.0,385.05,113242.14191
229,2018-04-03 23:59:59.999,385.0,419.08,380.13,415.01,137897.55565
230,2018-04-04 23:59:59.999,415.0,416.5,370.0,378.16,140598.39668
231,2018-04-05 23:59:59.999,378.15,387.03,365.61,381.22,120314.05875
232,2018-04-06 23:59:59.999,381.56,385.91,362.54,368.89,74458.69141
233,2018-04-07 23:59:59.999,368.89,394.75,368.28,384.51,71463.42848
234,2018-04-08 23:59:59.999,384.51,404.05,384.0,400.4,57395.52936
235,2018-04-09 23:59:59.999,400.4,431.99,387.1,399.44,151653.50413
236,2018-04-10 23:59:59.999,399.25,418.68,391.4,416.07,81394.29605
237,2018-04-11 23:59:59.999,415.53,433.54,410.38,429.52,86706.68627
238,2018-04-12 23:59:59.999,429.9,499.0,412.88,495.67,249766.38316
239,2018-04-13 23:59:59.999,494.3,530.0,480.22,495.11,251752.08782
240,2018-04-14 23:59:59.999,494.69,515.0,485.58,502.68,121283.3338
241,2018-04-15 23:59:59.999,502.68,535.0,502.51,533.88,108739.15395
242,2018-04-16 23:59:59.999,533.88,538.0,497.31,511.46,130359.52549
243,2018-04-17 23:59:59.999,512.09,521.2,500.02,502.56,96541.96382
244,2018-04-18 23:59:59.999,502.56,526.99,501.12,526.09,73161.95251
245,2018-04-19 23:59:59.999,526.49,571.61,521.03,568.14,112235.77328
246,2018-04-20 23:59:59.999,568.14,622.17,556.5,617.09,160209.03951
247,2018-04-21 23:59:59.999,616.8,624.5,570.23,604.87,159364.95353
248,2018-04-22 23:59:59.999,604.87,643.49,589.0,620.92,120127.3728
249,2018-04-23 23:59:59.999,620.67,649.11,618.02,645.09,77475.70793
250,2018-04-24 23:59:59.999,644.58,712.99,643.76,701.58,171437.66972
251,2018-04-25 23:59:59.999,701.16,703.3,593.83,618.0,341439.50428
252,2018-04-26 23:59:59.999,617.73,666.19,600.0,661.51,155754.00815
253,2018-04-27 23:59:59.999,661.51,686.82,635.73,643.46,134803.48389
254,2018-04-28 23:59:59.999,643.41,694.9,638.76,682.86,113128.36337
255,2018-04-29 23:59:59.999,683.5,700.49,665.28,690.85,110020.23869
256,2018-04-30 23:59:59.999,690.85,695.3,662.2,670.78,112494.9172
257,2018-05-01 23:59:59.999,670.78,675.6,627.58,672.0,133123.66675
258,2018-05-02 23:59:59.999,671.99,691.99,663.0,688.56,86185.5033
259,2018-05-03 23:59:59.999,688.55,792.08,685.39,779.0,229419.209
260,2018-05-04 23:59:59.999,779.0,810.0,756.91,785.99,179924.40215
261,2018-05-05 23:59:59.999,785.8,832.66,781.56,819.5,128631.18764
262,2018-05-06 23:59:59.999,819.5,839.99,752.49,794.3,166871.16002
263,2018-05-07 23:59:59.999,794.3,799.14,701.0,752.49,284237.06328
264,2018-05-08 23:59:59.999,753.0,777.0,720.02,748.99,135106.19621
265,2018-05-09 23:59:59.999,748.99,760.74,710.26,751.75,112353.37758
266,2018-05-10 23:59:59.999,752.4,769.88,720.0,722.52,102019.29933
267,2018-05-11 23:59:59.999,722.52,737.23,663.0,676.96,216953.54991
